id,location,city,latitude,longitude,road_type,lighting_score,crowd_density_score,police_presence_score,cctv_coverage_score,historical_crime_count,emergency_access_score,crime_type,risk_score,risk_level,safe_route_score,safe_route_path,voice_detected,voice_phrase,voice_event_type,recommended_action
14,"Market Road, Chennai",Chennai,13.096186,80.239765,Market Road,9,2,10,4,81,9,None,31.98,Medium,83.79,"13.096332,80.236908 -> 13.09708,80.241167 -> 13.098894,80.2424 -> 13.092742,80.23742 -> 13.097474,80.241049 -> 13.097474,80.249397 -> 13.097613,80.242604",True,save me,Help,Trigger emergency alert and share location
15,"Main Road, Vijayawada",Vijayawada,16.53959,80.670799,Main Road,10,6,7,0,14,6,None,24.5,Low,85.42,"16.541487,80.668867 -> 16.538998,80.669586 -> 16.539795,80.676586 -> 16.534922,80.672515 -> 16.535558,80.669619",True,save me,Help,Trigger emergency alert and share location
16,"Residential Street, Hyderabad",Hyderabad,17.423113,78.48895,Residential Street,8,2,8,2,16,8,None,28.91,Low,77.5,"17.421325,78.490649 -> 17.421287,78.489491 -> 17.423227,78.487321 -> 17.428473,78.490535 -> 17.41805,78.489416 -> 17.421459,78.491081 -> 17.421132,78.488663",True,help me,Help,Trigger emergency alert and share location
17,"Bus Stop Area, Delhi",Delhi,28.631575,77.239301,Bus Stop Area,9,4,4,6,85,6,Harassment,38.98,Medium,68.42,"28.630739,77.238114 -> 28.629942,77.243715 -> 28.632587,77.236149 -> 28.63387,77.244606 -> 28.634156,77.235503 -> 28.630364,77.242468",True,mom,Relative,Notify selected relative
18,"Bus Stop Area, Bengaluru",Bengaluru,12.946832,77.610134,Bus Stop Area,2,6,0,9,70,4,None,51.14,Medium,60.64,"12.944515,77.609985 -> 12.938729,77.607573 -> 12.946201,77.607015 -> 12.950913,77.606559 -> 12.945732,77.610461 -> 12.950435,77.606544 -> 12.94974,77.61016",True,save me,Help,Trigger emergency alert and share location
19,"Bus Stop Area, Visakhapatnam",Visakhapatnam,17.652447,83.234674,Bus Stop Area,2,1,5,1,65,4,None,57.61,Medium,48.18,"17.650946,83.234849 -> 17.651484,83.234958 -> 17.654102,83.238639 -> 17.649352,83.240007 -> 17.647567,83.234295",True,call my sister,Relative,Notify selected relative
20,"Industrial Road, Vijayawada",Vijayawada,16.526791,80.657835,Industrial Road,4,8,6,3,12,2,Harassment,34.64,Medium,70.55,"16.526271,80.656602 -> 16.525318,80.659959 -> 16.527684,80.656103 -> 16.52904,80.658603 -> 16.528823,80.659409 -> 16.524719,80.656435",True,call my mother,Relative,Notify selected relative
21,"Main Road, Mumbai",Mumbai,19.102155,72.899063,Main Road,2,1,6,5,13,4,Theft,44.34,Medium,63.65,"19.102448,72.902257 -> 19.100676,72.900431 -> 19.10165,72.898519 -> 19.104902,72.901127",True,save me,Help,Trigger emergency alert and share location
22,"Park Road, Vijayawada",Vijayawada,16.534673,80.693692,Park Road,3,5,7,3,9,8,None,33.25,Medium,74.86,"16.536378,80.692916 -> 16.535483,80.693367 -> 16.534915,80.69518 -> 16.532627,80.698923 -> 16.532158,80.690657 -> 16.537568,80.695671 -> 16.536233,80.695263",True,help,Help,Trigger emergency alert and share location
23,"Residential Street, Visakhapatnam",Visakhapatnam,17.686371,83.187096,Residential Street,4,3,6,7,61,4,None,43.8,Medium,67.68,"17.684678,83.189534 -> 17.686003,83.185032 -> 17.685568,83.188128 -> 17.684962,83.18504 -> 17.68698,83.187708 -> 17.685104,83.185918",False,none,No Alert,No action
24,"Park Road, Visakhapatnam",Visakhapatnam,17.694922,83.167817,Park Road,5,8,4,6,89,9,None,38.7,Medium,64.46,"17.693126,83.167283 -> 17.695699,83.171505 -> 17.697066,83.167417 -> 17.694874,83.165311 -> 17.694876,83.167095 -> 17.695729,83.165749",True,help me,Help,Trigger emergency alert and share location
25,"Main Road, Bengaluru",Bengaluru,12.989777,77.648246,Main Road,10,9,0,5,7,1,Theft,28.84,Low,82.12,"12.990781,77.649971 -> 12.988774,77.648806 -> 12.989808,77.64849 -> 12.987844,77.648307 -> 12.991022,77.651874 -> 12.992175,77.653629 -> 12.987859,77.650427",True,call my sister,Relative,Notify selected relative
26,"Main Road, Vijayawada",Vijayawada,16.512617,80.724643,Main Road,9,2,2,1,76,2,None,51.18,Medium,53.68,"16.510518,80.723145 -> 16.507307,80.723329 -> 16.510719,80.725019 -> 16.513471,80.729333",True,call my father,Relative,Notify selected relative
27,"Main Road, Bengaluru",Bengaluru,13.004865,77.574408,Main Road,10,2,6,10,74,10,Sexual Harassment,28.14,Low,85.37,"13.006095,77.571107 -> 13.009444,77.577357 -> 13.003692,77.570125 -> 13.00825,77.574122 -> 13.00796,77.570422 -> 13.003367,77.574421 -> 13.004982,77.573283",True,call my mother,Relative,Notify selected relative
28,"College Road, Bengaluru",Bengaluru,12.9934,77.557233,College Road,4,5,6,2,85,5,Sexual Harassment,48.52,Medium,58.37,"12.993701,77.558519 -> 12.995179,77.554421 -> 12.989565,77.560427 -> 12.994231,77.555362 -> 12.997278,77.557522 -> 12.996348,77.557402",True,call my mother,Relative,Notify selected relative
29,"Main Road, Hyderabad",Hyderabad,17.457126,78.548137,Main Road,8,10,9,1,9,9,None,15.52,Low,94.83,"17.459555,78.54975 -> 17.460548,78.545725 -> 17.458841,78.550783 -> 17.452729,78.545179",True,mom,Relative,Notify selected relative
30,"Residential Street, Pune",Pune,18.449027,73.847271,Residential Street,4,6,4,2,56,9,Abduction,41.64,Medium,68.55,"18.452783,73.847456 -> 18.453099,73.843821 -> 18.444769,73.847132 -> 18.449987,73.847189 -> 18.443858,73.847048",True,dad,Relative,Notify selected relative
31,"Railway Station Road, Visakhapatnam",Visakhapatnam,17.641144,83.241939,Railway Station Road,2,3,4,1,13,9,None,43.43,Medium,62.7,"17.638794,83.240654 -> 17.638496,83.241782 -> 17.643532,83.239475 -> 17.642404,83.240613",True,call police,Emergency,Trigger emergency alert and share location
32,"College Road, Bengaluru",Bengaluru,12.943849,77.590854,College Road,4,5,8,7,32,1,Robbery,36.45,Medium,70.47,"12.942465,77.587859 -> 12.948761,77.590942 -> 12.9421,77.591389",True,call my father,Relative,Notify selected relative
33,"Main Road, Visakhapatnam",Visakhapatnam,17.682869,83.210766,Main Road,6,3,10,4,20,8,Theft,27.27,Low,88.4,"17.684763,83.20944 -> 17.681429,83.210078 -> 17.677114,83.206978 -> 17.686286,83.214878 -> 17.682246,83.212207 -> 17.683647,83.218463 -> 17.685668,83.210446",True,call my father,Relative,Notify selected relative
34,"Residential Street, Hyderabad",Hyderabad,17.351556,78.430474,Residential Street,3,9,0,5,74,9,None,44.95,Medium,61.96,"17.349665,78.426918 -> 17.34994,78.42777 -> 17.355774,78.432678 -> 17.351536,78.434174",True,call my father,Relative,Notify selected relative
35,"College Road, Chennai",Chennai,13.085408,80.240555,College Road,1,6,3,10,31,2,Sexual Harassment,43.57,Medium,73.35,"13.086755,80.237962 -> 13.084932,80.238366 -> 13.081951,80.24287 -> 13.090182,80.237059 -> 13.086815,80.238928",True,mom,Relative,Notify selected relative
36,"Market Road, Delhi",Delhi,28.596851,77.188266,Market Road,4,3,2,6,3,3,Robbery,41.84,Medium,62.24,"28.596972,77.186189 -> 28.597527,77.18814 -> 28.596254,77.185997 -> 28.595409,77.190154 -> 28.598103,77.185822",True,call my father,Relative,Notify selected relative
37,"Railway Station Road, Bengaluru",Bengaluru,12.975077,77.620899,Railway Station Road,3,2,6,0,60,4,None,53.18,Medium,43.87,"12.976435,77.619242 -> 12.976503,77.618991 -> 12.970565,77.61683 -> 12.975197,77.621548",True,call my sister,Relative,Notify selected relative
38,"Bus Stop Area, Bengaluru",Bengaluru,12.939949,77.616951,Bus Stop Area,1,4,6,5,35,2,Stalking,47.39,Medium,51.61,"12.939784,77.613923 -> 12.938319,77.617069 -> 12.937798,77.61599 -> 12.942465,77.615509 -> 12.942038,77.614127",True,call my mother,Relative,Notify selected relative
39,"College Road, Delhi",Delhi,28.632443,77.259455,College Road,1,2,4,2,74,5,Theft,59.05,Medium,32.8,"28.630451,77.260898 -> 28.631935,77.260383 -> 28.630933,77.259671",True,help,Help,Trigger emergency alert and share location
40,"College Road, Pune",Pune,18.514951,73.897572,College Road,7,10,8,1,49,10,None,24.16,Low,87.41,"18.515795,73.896542 -> 18.513732,73.896491 -> 18.515937,73.89652 -> 18.515675,73.902761",True,call police,Emergency,Trigger emergency alert and share location
41,"Main Road, Delhi",Delhi,28.644389,77.197589,Main Road,9,9,10,10,25,6,Abduction,10.8,Low,100.0,"28.643369,77.192494 -> 28.641869,77.192912 -> 28.64351,77.197635 -> 28.64858,77.198406 -> 28.643841,77.199663 -> 28.638861,77.198178",True,help,Help,Trigger emergency alert and share location
42,"College Road, Pune",Pune,18.54738,73.804949,College Road,2,5,8,4,85,7,Stalking,45.8,Medium,68.32,"18.548226,73.803911 -> 18.548962,73.810626 -> 18.547835,73.80557 -> 18.546232,73.802824 -> 18.549456,73.802809",True,call my father,Relative,Notify selected relative
43,"Bus Stop Area, Vijayawada",Vijayawada,16.508705,80.631282,Bus Stop Area,7,7,10,2,78,10,Theft,29.23,Low,85.17,"16.509539,80.633876 -> 16.50743,80.630607 -> 16.506258,80.630171 -> 16.509648,80.633174 -> 16.5064,80.633456",True,call my father,Relative,Notify selected relative
44,"Railway Station Road, Visakhapatnam",Visakhapatnam,17.734247,83.23297,Railway Station Road,5,4,6,9,77,6,Harassment,39.52,Medium,83.16,"17.732313,83.229858 -> 17.7298,83.23671 -> 17.735883,83.232831 -> 17.734947,83.230156 -> 17.740361,83.233293 -> 17.73452,83.234784",True,call my sister,Relative,Notify selected relative
45,"Industrial Road, Bengaluru",Bengaluru,12.988435,77.602436,Industrial Road,3,2,4,8,84,10,Robbery,47.0,Medium,59.05,"12.989614,77.607141 -> 12.991799,77.606419 -> 12.987157,77.599962 -> 12.988121,77.602575 -> 12.99117,77.598205",True,help,Help,Trigger emergency alert and share location
46,"Railway Station Road, Bengaluru",Bengaluru,13.025134,77.58907,Railway Station Road,4,4,2,0,5,4,Sexual Harassment,45.34,Medium,56.72,"13.022604,77.584933 -> 13.027192,77.589253 -> 13.021909,77.585832 -> 13.024295,77.593243 -> 13.024485,77.585312 -> 13.02452,77.588388",True,dad,Relative,Notify selected relative
47,"Industrial Road, Hyderabad",Hyderabad,17.290609,78.4848,Industrial Road,7,10,3,6,63,7,Stalking,31.39,Medium,78.76,"17.29235,78.489422 -> 17.293425,78.484128 -> 17.287843,78.491233 -> 17.290757,78.484835",True,help me,Help,Trigger emergency alert and share location
48,"Residential Street, Visakhapatnam",Visakhapatnam,17.685956,83.225433,Residential Street,7,4,2,8,59,1,Sexual Harassment,43.93,Medium,67.55,"17.684522,83.224066 -> 17.685874,83.224074 -> 17.684174,83.225699 -> 17.685319,83.229193 -> 17.679329,83.228162 -> 17.689071,83.22025 -> 17.685099,83.224504",True,save me,Help,Trigger emergency alert and share location
49,"Industrial Road, Hyderabad",Hyderabad,17.335737,78.459476,Industrial Road,3,8,10,8,71,10,Theft,28.57,Low,78.88,"17.340118,78.461815 -> 17.338916,78.46128 -> 17.332914,78.458165 -> 17.33696,78.456421 -> 17.337519,78.458875",True,call my sister,Relative,Notify selected relative
50,"Industrial Road, Delhi",Delhi,28.600781,77.233884,Industrial Road,3,8,7,4,96,4,Harassment,45.73,Medium,65.19,"28.599879,77.236782 -> 28.598078,77.235424 -> 28.602264,77.23311 -> 28.601596,77.230756 -> 28.603091,77.233422",True,mom,Relative,Notify selected relative
51,"Railway Station Road, Bengaluru",Bengaluru,12.953305,77.631315,Railway Station Road,8,2,4,3,34,6,None,38.14,Medium,68.84,"12.949784,77.627423 -> 12.95482,77.628114 -> 12.957692,77.62611 -> 12.957546,77.631843 -> 12.953063,77.629953",True,mom,Relative,Notify selected relative
52,"Bus Stop Area, Vijayawada",Vijayawada,16.52017,80.646683,Bus Stop Area,7,3,3,1,53,7,Harassment,43.89,Medium,69.43,"16.520456,80.647059 -> 16.519261,80.646541 -> 16.52094,80.642408 -> 16.5168,80.648541 -> 16.520597,80.646223",True,mom,Relative,Notify selected relative
53,"Bus Stop Area, Visakhapatnam",Visakhapatnam,17.687445,83.230665,Bus Stop Area,7,7,9,0,97,10,None,35.43,Medium,71.97,"17.685499,83.231155 -> 17.684999,83.231686 -> 17.683189,83.233238 -> 17.688626,83.231305 -> 17.689902,83.234829 -> 17.689981,83.226063",True,call my sister,Relative,Notify selected relative
54,"Railway Station Road, Pune",Pune,18.475615,73.834831,Railway Station Road,7,7,8,8,77,4,None,31.8,Medium,83.54,"18.476909,73.833017 -> 18.476082,73.832943 -> 18.474086,73.831314 -> 18.473307,73.831452 -> 18.473175,73.837465 -> 18.473242,73.841412",True,save me,Help,Trigger emergency alert and share location
55,"Main Road, Mumbai",Mumbai,19.093266,72.884169,Main Road,7,6,10,10,51,3,Abduction,25.39,Low,87.92,"19.095017,72.88273 -> 19.093571,72.890569 -> 19.093026,72.887042 -> 19.091508,72.884082 -> 19.097693,72.882602 -> 19.097797,72.885938",True,help me,Help,Trigger emergency alert and share location
56,"Park Road, Visakhapatnam",Visakhapatnam,17.667114,83.240634,Park Road,10,10,10,0,10,7,None,13.41,Low,100.0,"17.668669,83.236708 -> 17.665296,83.240015 -> 17.666928,83.242186 -> 17.667558,83.237296",True,call my sister,Relative,Notify selected relative
57,"Park Road, Chennai",Chennai,13.096007,80.292071,Park Road,6,4,7,5,43,7,None,33.66,Medium,80.94,"13.098709,80.294156 -> 13.097155,80.291896 -> 13.091855,80.293145 -> 13.096526,80.29275 -> 13.092815,80.289368",True,call my father,Relative,Notify selected relative
58,"Industrial Road, Hyderabad",Hyderabad,17.42186,78.485316,Industrial Road,1,9,0,5,28,2,Abduction,47.64,Medium,60.07,"17.421931,78.48539 -> 17.424206,78.484026 -> 17.4221,78.48416",False,none,No Alert,No action
59,"Main Road, Bengaluru",Bengaluru,12.956393,77.583779,Main Road,10,3,3,2,60,2,Harassment,43.18,Medium,68.83,"12.955196,77.586918 -> 12.954156,77.583312 -> 12.955294,77.587396 -> 12.956884,77.586359 -> 12.952679,77.584447 -> 12.958617,77.583985 -> 12.959057,77.582486",True,save me,Help,Trigger emergency alert and share location
60,"College Road, Chennai",Chennai,13.132027,80.351161,College Road,3,10,9,1,99,3,Theft,44.39,Medium,61.4,"13.130913,80.354794 -> 13.135976,80.349854 -> 13.130977,80.350457 -> 13.128666,80.348864 -> 13.129517,80.349242",True,help,Help,Trigger emergency alert and share location
61,"Park Road, Chennai",Chennai,13.081486,80.278898,Park Road,7,4,1,9,88,4,Sexual Harassment,46.27,Medium,73.88,"13.07899,80.281359 -> 13.080951,80.278774 -> 13.083173,80.276091",True,call police,Emergency,Trigger emergency alert and share location
62,"Main Road, Hyderabad",Hyderabad,17.398384,78.492526,Main Road,6,9,6,10,47,2,None,28.84,Low,88.42,"17.399107,78.498664 -> 17.39679,78.491199 -> 17.396826,78.491137 -> 17.396791,78.495499 -> 17.401935,78.491099 -> 17.396303,78.493705 -> 17.397003,78.494108",True,call my mother,Relative,Notify selected relative
63,"Industrial Road, Delhi",Delhi,28.621002,77.155949,Industrial Road,2,7,5,10,58,3,Assault,41.05,Medium,77.79,"28.625492,77.154417 -> 28.620033,77.156664 -> 28.621838,77.157595 -> 28.626028,77.155507 -> 28.619006,77.152501 -> 28.619175,77.155866",True,help me,Help,Trigger emergency alert and share location
64,"Industrial Road, Chennai",Chennai,13.14551,80.252584,Industrial Road,8,7,9,4,41,4,Sexual Harassment,26.52,Low,88.3,"13.145469,80.255555 -> 13.151827,80.251257 -> 13.144286,80.255194",True,call police,Emergency,Trigger emergency alert and share location
65,"Industrial Road, Bengaluru",Bengaluru,12.995466,77.659235,Industrial Road,10,10,10,6,43,1,None,18.66,Low,100.0,"12.994568,77.660712 -> 12.998238,77.661286 -> 12.996734,77.661902 -> 12.998389,77.66269 -> 12.997088,77.658817 -> 12.995833,77.662251",True,call my mother,Relative,Notify selected relative
66,"College Road, Bengaluru",Bengaluru,12.943007,77.607504,College Road,5,6,4,9,89,5,Theft,42.34,Medium,67.99,"12.943079,77.6107 -> 12.943485,77.60762 -> 12.939607,77.60937 -> 12.944621,77.612912 -> 12.942238,77.608052 -> 12.94363,77.611448 -> 12.942769,77.608202",False,none,No Alert,No action
67,"Residential Street, Bengaluru",Bengaluru,12.992876,77.601131,Residential Street,4,7,7,8,97,4,Harassment,41.8,Medium,68.27,"12.993361,77.603815 -> 12.99031,77.601463 -> 12.991126,77.604119 -> 12.989068,77.599734 -> 12.993819,77.605045 -> 12.992712,77.599743",True,call my sister,Relative,Notify selected relative
68,"Residential Street, Visakhapatnam",Visakhapatnam,17.75264,83.16782,Residential Street,5,4,6,3,39,10,Theft,35.3,Medium,62.81,"17.75374,83.166565 -> 17.750087,83.169591 -> 17.75325,83.16641 -> 17.749439,83.170001 -> 17.754266,83.167572",True,call my sister,Relative,Notify selected relative
69,"Park Road, Pune",Pune,18.585032,73.819247,Park Road,9,6,5,7,34,5,None,26.77,Low,80.2,"18.583302,73.819133 -> 18.58564,73.818644 -> 18.585912,73.816118 -> 18.588641,73.819042 -> 18.587825,73.820104",True,save me,Help,Trigger emergency alert and share location
70,"College Road, Bengaluru",Bengaluru,12.987586,77.614542,College Road,2,9,2,3,27,8,Abduction,39.3,Medium,67.64,"12.989193,77.617865 -> 12.988077,77.616315 -> 12.987362,77.618142 -> 12.985895,77.619044 -> 12.987486,77.610965",True,dad,Relative,Notify selected relative
71,"Residential Street, Chennai",Chennai,13.087184,80.246863,Residential Street,4,5,3,5,22,5,None,39.86,Medium,72.54,"13.085552,80.245748 -> 13.08246,80.245732 -> 13.081124,80.242903",True,mom,Relative,Notify selected relative
72,"Main Road, Visakhapatnam",Visakhapatnam,17.713415,83.246003,Main Road,9,5,2,10,96,8,Theft,36.64,Medium,80.69,"17.710998,83.245884 -> 17.713406,83.243107 -> 17.717173,83.248196",False,none,No Alert,No action
73,"Industrial Road, Mumbai",Mumbai,19.068266,72.878641,Industrial Road,8,6,2,0,32,8,Harassment,36.0,Medium,72.44,"19.063162,72.878023 -> 19.066561,72.876137 -> 19.067563,72.883135",True,help,Help,Trigger emergency alert and share location
74,"Main Road, Hyderabad",Hyderabad,17.40743,78.466709,Main Road,3,3,9,4,10,4,Assault,36.14,Medium,76.43,"17.410928,78.469021 -> 17.407579,78.465092 -> 17.409176,78.467693",True,mom,Relative,Notify selected relative
75,"Park Road, Bengaluru",Bengaluru,13.002932,77.616831,Park Road,8,8,4,9,54,5,None,28.59,Low,91.36,"13.001594,77.620124 -> 13.003426,77.622019 -> 13.001209,77.621171 -> 13.003427,77.615202 -> 13.001722,77.61603 -> 13.003992,77.618138 -> 13.001498,77.61677",True,dad,Relative,Notify selected relative
76,"Bus Stop Area, Hyderabad",Hyderabad,17.459979,78.547164,Bus Stop Area,4,5,10,1,20,4,None,34.55,Medium,76.54,"17.460074,78.547464 -> 17.461513,78.544607 -> 17.459336,78.542993 -> 17.460977,78.548782",True,mom,Relative,Notify selected relative
77,"Park Road, Visakhapatnam",Visakhapatnam,17.669888,83.27359,Park Road,8,10,7,4,4,4,Stalking,19.27,Low,87.3,"17.666227,83.274151 -> 17.672506,83.2778 -> 17.668741,83.276287 -> 17.669792,83.273158 -> 17.672097,83.275221",True,call police,Emergency,Trigger emergency alert and share location
78,"Residential Street, Mumbai",Mumbai,19.020826,72.929379,Residential Street,4,5,10,9,84,4,Theft,37.45,Medium,83.95,"19.019262,72.930369 -> 19.022061,72.930031 -> 19.01945,72.9277 -> 19.020762,72.932311 -> 19.022185,72.928452 -> 19.022755,72.922258",True,help,Help,Trigger emergency alert and share location
79,"Railway Station Road, Vijayawada",Vijayawada,16.546407,80.58711,Railway Station Road,3,2,0,2,39,10,Harassment,50.75,Medium,51.24,"16.543608,80.583873 -> 16.549309,80.585941 -> 16.547273,80.586993 -> 16.5476,80.587302 -> 16.5432,80.589601 -> 16.545173,80.583219 -> 16.545337,80.590862",True,call police,Emergency,Trigger emergency alert and share location
80,"Railway Station Road, Mumbai",Mumbai,19.105758,72.865497,Railway Station Road,7,5,8,8,63,8,None,28.66,Low,84.79,"19.104954,72.870689 -> 19.106713,72.866572 -> 19.108334,72.866094",True,dad,Relative,Notify selected relative
81,"College Road, Delhi",Delhi,28.604834,77.202128,College Road,10,5,0,1,29,10,Abduction,33.25,Medium,75.09,"28.604741,77.203947 -> 28.604964,77.20396 -> 28.604632,77.202325 -> 28.599838,77.204419 -> 28.6057,77.204623 -> 28.597593,77.207349 -> 28.604485,77.204898",False,none,No Alert,No action
82,"Main Road, Chennai",Chennai,13.046303,80.292147,Main Road,3,8,8,10,56,5,Harassment,31.64,Medium,76.5,"13.044744,80.296932 -> 13.045826,80.292691 -> 13.048478,80.293386 -> 13.046679,80.293059",True,dad,Relative,Notify selected relative
83,"Residential Street, Mumbai",Mumbai,19.16012,72.875683,Residential Street,8,6,6,5,41,2,Harassment,32.89,Medium,81.02,"19.162747,72.878447 -> 19.163088,72.87728 -> 19.157262,72.879767 -> 19.157254,72.87644",True,call my mother,Relative,Notify selected relative
84,"Railway Station Road, Mumbai",Mumbai,19.0496,72.875455,Railway Station Road,7,9,0,7,11,6,None,28.57,Low,83.58,"19.050403,72.87651 -> 19.053634,72.876589 -> 19.04899,72.877865 -> 19.052574,72.872386 -> 19.051094,72.877208",True,call my mother,Relative,Notify selected relative
85,"Main Road, Delhi",Delhi,28.603485,77.25715,Main Road,9,8,6,0,24,9,Assault,23.82,Low,85.63,"28.603799,77.256717 -> 28.603524,77.254409 -> 28.599885,77.261136 -> 28.601368,77.254672 -> 28.598102,77.255553",True,dad,Relative,Notify selected relative
86,"Main Road, Mumbai",Mumbai,19.029692,72.935171,Main Road,4,5,8,2,36,8,None,35.27,Medium,78.38,"19.027972,72.940802 -> 19.032146,72.934359 -> 19.023443,72.940898 -> 19.026218,72.931058 -> 19.032248,72.94127 -> 19.033153,72.936581",True,help,Help,Trigger emergency alert and share location
87,"Market Road, Bengaluru",Bengaluru,12.992416,77.62447,Market Road,5,9,0,8,52,2,Harassment,41.45,Medium,71.94,"12.993119,77.624731 -> 12.99226,77.622585 -> 12.991714,77.620238 -> 12.99217,77.621999",True,help,Help,Trigger emergency alert and share location
88,"Market Road, Hyderabad",Hyderabad,17.346374,78.492996,Market Road,8,5,8,4,53,8,Harassment,28.89,Low,91.27,"17.34867,78.48907 -> 17.3439,78.495348 -> 17.343918,78.492434 -> 17.347749,78.490575 -> 17.346637,78.489661 -> 17.344871,78.493795",True,save me,Help,Trigger emergency alert and share location
89,"Park Road, Vijayawada",Vijayawada,16.450445,80.663417,Park Road,4,10,8,2,8,5,Sexual Harassment,26.73,Low,81.77,"16.451826,80.663977 -> 16.453855,80.66373 -> 16.449371,80.663723 -> 16.451803,80.663539 -> 16.450546,80.661662 -> 16.448788,80.65991",True,call my mother,Relative,Notify selected relative
90,"Main Road, Chennai",Chennai,13.143935,80.227165,Main Road,5,5,9,9,84,8,Theft,33.36,Medium,77.97,"13.142139,80.229402 -> 13.143198,80.230284 -> 13.142251,80.227862 -> 13.141847,80.232528",True,call my sister,Relative,Notify selected relative
